entry_id,model,model_label,domain,task_id8,task_id,step_index,step_num,kind,is_annotatable,sleep_seconds,video_offset_sec,action_summary,action_text,response_chars,reward,done_flag
gpt55__93eabf48,gpt55,GPT-5.5,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,0,1,action,True,,68.36,"pyautogui.hotkey('ctrl', 'l') | pyautogui.write('chrome://flags/#enable-force-dark', interval=0.01) | pyautogui.press('enter')","# Chrome is open on a New Tab and no changes have been made yet; I’ll open the Chrome Auto Dark Mode flag page so it can be disabled.\nimport pyautogui, time\npyautogui.hotkey('ctrl', 'l')\ntime.sleep(0.2)\npyautogui.write('chrome://flags/#enable-force-dark', interval=0.01)\npyautogui.press('enter')\ntime.sleep(1.0)",325,0,False
gpt55__93eabf48,gpt55,GPT-5.5,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,1,2,action,True,,133.485,"pyautogui.click(1258, 222) | pyautogui.press('end') | pyautogui.press('enter')","# We are on Chrome's flags page with ""Auto Dark Mode for Web Contents"" visible; next I will change its dropdown from Default to Disabled.\nimport pyautogui, time\npyautogui.click(1258, 222)\ntime.sleep(0.2)\npyautogui.press('end')\ntime.sleep(0.1)\npyautogui.press('enter')\ntime.sleep(0.6)",297,0,False
gpt55__93eabf48,gpt55,GPT-5.5,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,2,3,action,True,,141.641,"pyautogui.click(1824, 1034)","# The Auto Dark Mode flag has been set to Disabled; now I’ll relaunch Chrome so the change takes effect.\nimport pyautogui, time\npyautogui.click(1824, 1034)\ntime.sleep(2)",183,0,False
gpt55__93eabf48,gpt55,GPT-5.5,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,3,4,sleep,False,2.0,159.25,WAIT/sleep,"# Chrome has relaunched after disabling Auto Dark Mode, and the flags page is still loading; I’ll wait briefly for it to finish so I can confirm the change.\nimport time\ntime.sleep(2)",196,0,False
gpt55__93eabf48,gpt55,GPT-5.5,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,4,5,done,False,,178.375,DONE,DONE,10,0,True
minimax__93eabf48,minimax,MiniMax-M3,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,0,1,action,True,,2.985,"""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(984, 129)","import pyautogui\nif not getattr(pyautogui, ""_osworld_m3_norm"", False):\n    pyautogui._osworld_m3_norm = True\n    _mn_FX, _mn_FY = 1.92, 1.08\n    def _mn_wrap(_f, _xy_at=0):\n        def _g(*args, **kwargs):\n            args = list(args)\n            if len(args) >= _xy_at + 1 and isinstance(args[_xy_at], (int, float)): args[_xy_at] = args[_xy_at] * _mn_FX\n            if len(args) >= _xy_at + 2 and isinstance(args[_xy_at + 1], (int, float)): args[_xy_at + 1] = args[_xy_at + 1] * _mn_FY\n            if isinstance(kwargs.get(""x""), (int, float)): kwargs[""x""] = kwargs[""x""] * _mn_FX\n            if isinstance(kwargs.get(""y""), (int, float)): kwargs[""y""] = kwargs[""y""] * _mn_FY\n            return _f(*args, **kwargs)\n        return _g\n    for _n in (""click"", ""doubleClick"", ""tripleClick"", ""rightClick"", ""middleClick"",\n               ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""):\n        if hasattr(pyautogui, _n): setattr(pyautogui, _n, _mn_wrap(getattr(pyautogui, _n)))\n    for _n in (""scroll"", ""hscroll"", ""vscroll""):\n        if hasattr(pyautogui, _n): setattr(pyautogui, _n, _mn_wrap(getattr(pyautogui, _n), _xy_at=1))\n    # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls\n    # position(x, y) with args internally; a zero-arg replacement TypeErrors every scroll\n    # (hit this live on 2026-07-21). See the matching note in COORD_FIX_SHIM.\n\nimport pyautogui\nimport time\n\n# Close the update notification\npyautogui.click(984, 129)\ntime.sleep(0.5)\n\n# Click on the URL bar and navigate to Chrome's appearance settings\npyautogui.click(497, 83)\ntime.sleep(0.5)\npyautogui.typewrite('chrome://settings/appearance')\ntime.sleep(0.5)\npyautogui.press('enter')",548,0,False
minimax__93eabf48,minimax,MiniMax-M3,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,1,2,action,True,,8.657,"""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(327, 124)","import pyautogui\nif not getattr(pyautogui, ""_osworld_m3_norm"", False):\n    pyautogui._osworld_m3_norm = True\n    _mn_FX, _mn_FY = 1.92, 1.08\n    def _mn_wrap(_f, _xy_at=0):\n        def _g(*args, **kwargs):\n            args = list(args)\n            if len(args) >= _xy_at + 1 and isinstance(args[_xy_at], (int, float)): args[_xy_at] = args[_xy_at] * _mn_FX\n            if len(args) >= _xy_at + 2 and isinstance(args[_xy_at + 1], (int, float)): args[_xy_at + 1] = args[_xy_at + 1] * _mn_FY\n            if isinstance(kwargs.get(""x""), (int, float)): kwargs[""x""] = kwargs[""x""] * _mn_FX\n            if isinstance(kwargs.get(""y""), (int, float)): kwargs[""y""] = kwargs[""y""] * _mn_FY\n            return _f(*args, **kwargs)\n        return _g\n    for _n in (""click"", ""doubleClick"", ""tripleClick"", ""rightClick"", ""middleClick"",\n               ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""):\n        if hasattr(pyautogui, _n): setattr(pyautogui, _n, _mn_wrap(getattr(pyautogui, _n)))\n    for _n in (""scroll"", ""hscroll"", ""vscroll""):\n        if hasattr(pyautogui, _n): setattr(pyautogui, _n, _mn_wrap(getattr(pyautogui, _n), _xy_at=1))\n    # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls\n    # position(x, y) with args internally; a zero-arg replacement TypeErrors every scroll\n    # (hit this live on 2026-07-21). See the matching note in COORD_FIX_SHIM.\n\nimport pyautogui\nimport time\n\n# Click on the chrome://settings/appearance option in the dropdown\npyautogui.click(327, 124)\ntime.sleep(1)",293,0,False
minimax__93eabf48,minimax,MiniMax-M3,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,2,3,action,True,,16.235,"""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(632, 299)","import pyautogui\nif not getattr(pyautogui, ""_osworld_m3_norm"", False):\n    pyautogui._osworld_m3_norm = True\n    _mn_FX, _mn_FY = 1.92, 1.08\n    def _mn_wrap(_f, _xy_at=0):\n        def _g(*args, **kwargs):\n            args = list(args)\n            if len(args) >= _xy_at + 1 and isinstance(args[_xy_at], (int, float)): args[_xy_at] = args[_xy_at] * _mn_FX\n            if len(args) >= _xy_at + 2 and isinstance(args[_xy_at + 1], (int, float)): args[_xy_at + 1] = args[_xy_at + 1] * _mn_FY\n            if isinstance(kwargs.get(""x""), (int, float)): kwargs[""x""] = kwargs[""x""] * _mn_FX\n            if isinstance(kwargs.get(""y""), (int, float)): kwargs[""y""] = kwargs[""y""] * _mn_FY\n            return _f(*args, **kwargs)\n        return _g\n    for _n in (""click"", ""doubleClick"", ""tripleClick"", ""rightClick"", ""middleClick"",\n               ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""):\n        if hasattr(pyautogui, _n): setattr(pyautogui, _n, _mn_wrap(getattr(pyautogui, _n)))\n    for _n in (""scroll"", ""hscroll"", ""vscroll""):\n        if hasattr(pyautogui, _n): setattr(pyautogui, _n, _mn_wrap(getattr(pyautogui, _n), _xy_at=1))\n    # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls\n    # position(x, y) with args internally; a zero-arg replacement TypeErrors every scroll\n    # (hit this live on 2026-07-21). See the matching note in COORD_FIX_SHIM.\n\nimport pyautogui\nimport time\n\n# Click on the Mode dropdown to change it from Dark to Light\npyautogui.click(632, 299)\ntime.sleep(0.5)",315,0,False
minimax__93eabf48,minimax,MiniMax-M3,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,3,4,action,True,,20.344,"""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""): | # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls | pyautogui.click(594, 324)","import pyautogui\nif not getattr(pyautogui, ""_osworld_m3_norm"", False):\n    pyautogui._osworld_m3_norm = True\n    _mn_FX, _mn_FY = 1.92, 1.08\n    def _mn_wrap(_f, _xy_at=0):\n        def _g(*args, **kwargs):\n            args = list(args)\n            if len(args) >= _xy_at + 1 and isinstance(args[_xy_at], (int, float)): args[_xy_at] = args[_xy_at] * _mn_FX\n            if len(args) >= _xy_at + 2 and isinstance(args[_xy_at + 1], (int, float)): args[_xy_at + 1] = args[_xy_at + 1] * _mn_FY\n            if isinstance(kwargs.get(""x""), (int, float)): kwargs[""x""] = kwargs[""x""] * _mn_FX\n            if isinstance(kwargs.get(""y""), (int, float)): kwargs[""y""] = kwargs[""y""] * _mn_FY\n            return _f(*args, **kwargs)\n        return _g\n    for _n in (""click"", ""doubleClick"", ""tripleClick"", ""rightClick"", ""middleClick"",\n               ""moveTo"", ""dragTo"", ""mouseDown"", ""mouseUp"", ""moveRel"", ""dragRel""):\n        if hasattr(pyautogui, _n): setattr(pyautogui, _n, _mn_wrap(getattr(pyautogui, _n)))\n    for _n in (""scroll"", ""hscroll"", ""vscroll""):\n        if hasattr(pyautogui, _n): setattr(pyautogui, _n, _mn_wrap(getattr(pyautogui, _n), _xy_at=1))\n    # position()/size() deliberately NOT overridden -- pyautogui's scroll() calls\n    # position(x, y) with args internally; a zero-arg replacement TypeErrors every scroll\n    # (hit this live on 2026-07-21). See the matching note in COORD_FIX_SHIM.\n\nimport pyautogui\nimport time\n\n# Click on ""Light"" option to turn off dark mode\npyautogui.click(594, 324)\ntime.sleep(1)",235,0,False
minimax__93eabf48,minimax,MiniMax-M3,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,4,5,done,False,,26.282,DONE,DONE,596,0,True
fable__93eabf48,fable,Claude Fable 5,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,0,1,action,True,,20.484,"pyautogui.click(400, 89) | pyautogui.typewrite('chrome://flags/#enable-force-dark', interval=0.02) | pyautogui.press('enter')","import pyautogui\nimport time\n# Click on the address bar\npyautogui.click(400, 89)\ntime.sleep(0.5)\n# Type the Chrome flags URL for dark mode setting\npyautogui.typewrite('chrome://flags/#enable-force-dark', interval=0.02)\ntime.sleep(0.5)\npyautogui.press('enter')\ntime.sleep(1)",601,0,False
fable__93eabf48,fable,Claude Fable 5,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,1,2,action,True,,42.89,"pyautogui.click(1258, 223) | pyautogui.press('end') | pyautogui.press('enter')","import pyautogui\nimport time\n# Click on the dropdown for ""Auto Dark Mode for Web Contents""\npyautogui.click(1258, 223)\ntime.sleep(1)\n# Press End to go to the last option (""Disabled"") and press Enter to select\npyautogui.press('end')\ntime.sleep(0.5)\npyautogui.press('enter')\ntime.sleep(1)",524,0,False
fable__93eabf48,fable,Claude Fable 5,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,2,3,action,True,,53.203,"pyautogui.click(1822, 1034)","import pyautogui\nimport time\n# Click the Relaunch button to apply the changes\npyautogui.click(1822, 1034)\ntime.sleep(3)",351,0,False
fable__93eabf48,fable,Claude Fable 5,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,3,4,action,True,,75.984,"pyautogui.hotkey('ctrl', 't')","import pyautogui\nimport time\n# Open a new tab to verify web content renders in light mode\npyautogui.hotkey('ctrl', 't')\ntime.sleep(2)",478,0,False
fable__93eabf48,fable,Claude Fable 5,chrome,93eabf48,93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9,4,5,done,False,,86.156,DONE,DONE,271,0,True
gpt55__77b8ab4d,gpt55,GPT-5.5,gimp,77b8ab4d,77b8ab4d-994f-43ac-8930-8ca087d7c4b4,0,1,action,True,,12.0,"pyautogui.hotkey('ctrl','shift','e') | pyautogui.hotkey('ctrl','l') | pyautogui.write(os.path.expanduser('~/Desktop/export.jpg'), interval=0.01)","import pyautogui, time, os\npyautogui.hotkey('ctrl','shift','e')\ntime.sleep(1)\npyautogui.hotkey('ctrl','l')\ntime.sleep(0.3)\npyautogui.write(os.path.expanduser('~/Desktop/export.jpg'), interval=0.01)\npyautogui.press('enter')\ntime.sleep(1)\npyautogui.press('enter')\ntime.sleep(1)\npyautogui.press('enter')",432,0,False
gpt55__77b8ab4d,gpt55,GPT-5.5,gimp,77b8ab4d,77b8ab4d-994f-43ac-8930-8ca087d7c4b4,1,2,action,True,,23.906,"# The export path is already set to /home/user/Desktop/export.jpg and the JPEG options dialog is open; click Export to save it. | pyautogui.click(1519, 933)","# The export path is already set to /home/user/Desktop/export.jpg and the JPEG options dialog is open; click Export to save it.\nimport pyautogui, time\npyautogui.click(1519, 933)\ntime.sleep(0.5)",207,0,False
